date;jour;canal;format;persona;pilier_editorial;sujet;objectif;appel_a_action;page_site_envisagee;agent_producteur;controle_conformite;kpi;statut
2026-08-03;Lundi;Interne;Preparation;Tous;P10 - Methode et valeurs;Preparer les gabarits de publication (aucune diffusion);Preparation;n/a;n/a;content-strategist / social-media-manager;n/a;n/a;Preparation
2026-08-10;Lundi;Interne;Preparation;A - Jeune actif;P3 - 3e pilier 3A/3B;Cadrer le lead magnet Guide 3e pilier;Preparation;n/a;/ressources (envisagee);lead-magnet-creator;n/a;n/a;Preparation
2026-08-15;Samedi;Interne;Preparation;Tous;P10 - Methode et valeurs;Verifier parcours site vers CRM et appels a l action;Preparation;n/a;/contact (existante);marketing-director / performance-analyst;n/a;Parcours OK o/n;Preparation
2026-08-17;Lundi;LinkedIn;Post;A - Jeune actif;P3 - 3e pilier 3A/3B;3A ou 3B, comprendre la difference;Education;Comprendre en 3 minutes (lien article);/le-3e-pilier (envisagee);linkedin-writer;Requis;Portee, clics site;A faire
2026-08-18;Mardi;Instagram;Carrousel;A - Jeune actif;P3 - 3e pilier 3A/3B;3 idees recues sur le 3e pilier;Education;Enregistrez ce post;/le-3e-pilier (envisagee);social-media-manager;Requis;Engagement, enregistrements;A faire
2026-08-19;Mercredi;Instagram;Stories (x2);A et B;P9 - Role du courtier independant;Question du jour et presentation;Engagement;Posez votre question;/contact (existante);social-media-manager;Requis;Vues, reponses;A faire
2026-08-20;Jeudi;LinkedIn;Post;C - Independant;P4 - Proteger son revenu (incapacite de gain);Independants, que touche votre foyer en cas d incapacite de gain;Education;Demander une analyse de prevoyance;/prevoyance (envisagee);linkedin-writer;Requis;Portee, clics site;A faire
2026-08-21;Vendredi;Reels;Reel;A - Jeune actif;P3 - 3e pilier 3A/3B;Le 3e pilier explique en 30 secondes;Notoriete;Telecharger le guide gratuit;/ressources (envisagee);social-media-manager;Requis;Vues, retention;A faire
2026-08-22;Samedi;Facebook;Post;B - Famille;P6 - Proteger son couple ou sa famille;Apres une naissance, 3 points d assurance a verifier;Education;Telecharger la check-list du foyer;/ressources (envisagee);social-media-manager;Requis;Portee, clics, telechargements;A faire
2026-08-24;Lundi;LinkedIn;Post;A - Jeune actif;P1 - Comprendre l assurance maladie LAMal;Assurance maladie de base, l essentiel a comprendre;Education;Lire l article;/assurance-maladie (envisagee);linkedin-writer;Requis;Portee, clics site;A faire
2026-08-25;Mardi;Instagram;Carrousel;B - Famille;P2 - Choisir ses complementaires;Faut-il une complementaire, 4 questions a se poser;Education;Enregistrez et partagez;/assurance-maladie (envisagee);social-media-manager;Requis;Engagement, enregistrements;A faire
2026-08-26;Mercredi;Instagram;Stories (x3);Tous;P8 - Eviter les erreurs courantes;Erreur frequente du jour dans les contrats;Engagement;Posez votre question;/contact (existante);social-media-manager;Requis;Vues, reponses;A faire
2026-08-27;Jeudi;LinkedIn;Post;C - Independant;P5 - Comprendre sa couverture LPP;Independant et LPP, ce qu il faut savoir;Education;Demander un rendez-vous;/prevoyance (envisagee);linkedin-writer;Requis;Portee, clics site;A faire
2026-08-28;Vendredi;Reels;Reel;B et D;P7 - Verifier ses assurances apres un changement;Vous demenagez, 3 assurances a verifier;Notoriete;Telecharger la check-list;/ressources (envisagee);social-media-manager;Requis;Vues, retention;A faire
2026-08-29;Samedi;Facebook;Post;B - Famille;P9 - Role du courtier independant;Pourquoi passer par un courtier independant;Notoriete;Voir nos services;/services (existante);social-media-manager;Requis;Portee, clics site;A faire
2026-08-31;Lundi;LinkedIn;Post;A - Jeune actif;P9 - Role du courtier independant;Courtier independant, comment nous travaillons;Notoriete;Prendre contact quand vous le souhaitez;/contact (existante);linkedin-writer;Requis;Portee, clics site;A faire
