date;jour;canal;format;persona;theme;sujet;objectif;appel_a_action;page_site_envisagee;agent_producteur;controle_conformite;kpi;statut
2026-08-24;Lundi;LinkedIn;Post;Grand public / A;LAMal + modeles de base;L'assurance de base en Suisse : LAMal et modeles (standard, medecin de famille, HMO), une vue d'ensemble;Education;Lire l'article (lien a venir);URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-08-25;Mardi;LinkedIn entreprise;Post;Grand public;LAMal (echo);Pourquoi je commence toujours par expliquer la LAMal avant de parler complementaires;Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-08-26;Mercredi;Instagram;Carrousel;B - Famille;Complementaires;Faut-il une complementaire ? 4 questions a se poser;Education;Enregistrez ce post;Aucune (contenu sans lien);social-media-manager;Requis;Engagement, enregistrements;A faire
2026-08-27;Jeudi;LinkedIn;Post;Tous;Methode de conseil;Ce que je verifie en premier lors d'un bilan;Education;Demander un bilan;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-08-28;Vendredi;Reels;Reel;A - Jeune actif;Jeunes actifs;Premier vrai salaire, 3 assurances auxquelles on ne pense pas tout de suite;Notoriete;Commentez si le sujet vous interesse;Aucune (contenu sans lien);social-media-manager;Requis;Vues, retention;A faire
;;SEO (action interne);Action interne;;Changement de caisse (SEO-001);Confirmer humainement l'etat de preparation WordPress de SEO-001, sans fixer de date de publication;Preparation;n/a;n/a;marketing-director (verification, pas de production);n/a;n/a;Preparation
2026-08-31;Lundi;LinkedIn;Post;Grand public;Franchise;Quelle franchise choisir ? Ce qui compte vraiment avant de decider;Education;Faire un bilan;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-09-01;Mardi;LinkedIn entreprise;Post;Grand public;Changement de caisse;Le calendrier du changement de caisse maladie, un repere a connaitre (sans lien tant que l'article n'est pas publie);Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-09-02;Mercredi;Instagram;Carrousel;Grand public;Changement de caisse;Le calendrier du changement de caisse maladie en un coup d'oeil (repere du 30 novembre);Education;Enregistrez ce post;Aucune (contenu sans lien);social-media-manager;Requis;Engagement, enregistrements;A faire
2026-09-03;Jeudi;LinkedIn;Post;Tous;Prudence resiliation complementaire;Avant de resilier votre complementaire, verifiez ceci;Education;Poser votre question en commentaire;Aucune;linkedin-writer;Requis;Portee, engagement;A faire
2026-09-04;Vendredi;Facebook;Post;B - Famille;Prudence resiliation complementaire;On accumule des contrats, parfois sans s'en rendre compte;Education + contact;Presenter votre demande depuis la page Contact;URL a confirmer;social-media-manager;Requis;Portee, clics;A faire
;;SEO (action interne);Action interne;;LAMal ou LCA;Cadrer le brief SEO-003 (brief a creer vers brief pret);Preparation;n/a;n/a;content-strategist / seo-strategist;n/a;n/a;Preparation
2026-09-07;Lundi;LinkedIn;Post;Grand public;Presentation d'Antoine;Pourquoi j'ai choisi d'etre un courtier independant;Notoriete;Suivre / commenter;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-09-08;Mardi;LinkedIn entreprise;Post;Grand public;Methode de conseil;Presentation de ma methode de travail;Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-09-09;Mercredi;Instagram;Carrousel;B - Famille;Complementaires;Vrai ou faux sur les complementaires (reprise pedagogique);Engagement;Enregistrez ce post;Aucune;social-media-manager;Requis;Engagement;A faire
2026-09-10;Jeudi;LinkedIn;Post;B - Famille;Situation pedagogique fictive;Situation pedagogique fictive : un couple decouvre un doublon de couverture, ce que j'aurais verifie avant;Education;Demander un bilan;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-09-11;Vendredi;Reels;Reel;Tous;Methode de conseil;3 erreurs que je vois souvent (situation pedagogique fictive, non un cas client reel);Notoriete;Commentez si ca vous parle;Aucune;social-media-manager;Requis;Vues, retention;A faire
;;SEO (action interne);Action interne;;LAMal ou LCA;Redaction du brouillon SEO-003 par seo-writer, a partir du brief valide en semaine 2;Preparation;n/a;n/a;seo-writer;n/a;n/a;Preparation
2026-09-14;Lundi;LinkedIn;Post;D - Arrivee en Suisse;Arrivee en Suisse;Ce qui change cote assurance quand on arrive en Suisse;Education;Poser votre question en commentaire;Aucune;linkedin-writer;Requis;Portee, engagement;A faire
