numero_semaine;date_debut;date_fin;phase;tache;agent_responsable;persona;canal;priorite;duree_estimee;livrable;dependance;validation_humaine;kpi;statut
S1;2026-08-01;2026-08-07;Phase 1;Valider positionnement, personas et piliers editoriaux;marketing-director / content-strategist;Tous;Interne;Haute;4h;Docs LOT 1 valides;Aucune;Oui;n/a;A faire
S1;2026-08-01;2026-08-07;Phase 1;Selectionner les canaux prioritaires par persona;marketing-director;Tous;Interne;Haute;2h;Note de cadrage canaux;S1 positionnement;Oui;n/a;A faire
S1;2026-08-01;2026-08-07;Phase 1;Definir le plan de suivi des sources de leads (UTM + champ source, documente);marketing-director / performance-analyst;Tous;Interne;Haute;2h;Plan de tracking (analytics);Aucune;Oui;n/a;A faire
S2;2026-08-08;2026-08-14;Phase 1;Definir l identite editoriale (ton, charte de formulation);content-strategist / compliance-reviewer;Tous;Interne;Haute;3h;Guide de style;S1 positionnement;Oui;n/a;A faire
S2;2026-08-08;2026-08-14;Phase 1;Preparer les modeles de publication (gabarits, sans redaction finale);content-strategist / social-media-manager / linkedin-writer;Tous;Social;Moyenne;4h;Gabarits de publication;S2 identite;Oui;n/a;A faire
S2;2026-08-08;2026-08-14;Phase 1;Cadrer le 1er lead magnet (Guide 3e pilier 3A/3B);lead-magnet-creator / content-strategist;A - Jeune actif;Site;Haute;3h;Brief lead magnet 1;S1 positionnement;Oui;n/a;A faire
S2;2026-08-08;2026-08-14;Phase 1;Cadrer le 1er flyer (concept et message);visual-flyer-director / content-strategist;B - Famille;Local;Basse;2h;Brief flyer;S2 identite;Oui;n/a;A faire
S3;2026-08-15;2026-08-15;Phase 1;Documenter besoins page/formulaire (specifications, sans modif site);conversion-funnel-designer;A - Jeune actif;Site;Haute;3h;Maquette texte landing;S2 lead magnet;Oui;Parcours OK o/n;A faire
S3;2026-08-15;2026-08-15;Phase 1;Verifier parcours site vers CRM et appels a l action (revue documentaire);marketing-director / performance-analyst;Tous;Site;Haute;2h;Note de verification;Aucune;Oui;Parcours OK o/n;A faire
S3;2026-08-15;2026-08-15;Phase 1;Completer la checklist avant lancement;marketing-director;Tous;Interne;Haute;2h;Checklist remplie;Phase 1;Oui;Pourcentage prets;A faire
S3;2026-08-16;2026-08-21;Phase 2;Rediger et valider les 2-3 premiers posts LinkedIn;linkedin-writer / compliance-reviewer;A - Jeune actif;LinkedIn;Haute;3h;Brouillons LinkedIn;S2 gabarits;Oui;Portee, clics site;A faire
S3;2026-08-16;2026-08-21;Phase 2;Rediger 2-3 posts Instagram/Facebook + 3-5 stories (adaptes);social-media-manager / compliance-reviewer;B - Famille;Instagram/Facebook;Haute;4h;Brouillons IG/FB;S2 gabarits;Oui;Portee, engagement;A faire
S3;2026-08-16;2026-08-21;Phase 2;Finaliser le 1er lead magnet (brouillon complet) + fiche de validation;lead-magnet-creator / compliance-reviewer;A - Jeune actif;Site;Haute;5h;Guide 3e pilier brouillon;S2 lead magnet;Oui;Telechargements;A faire
S3;2026-08-16;2026-08-21;Phase 2;Tester les appels a l action (formulations, liens) en conditions reelles;conversion-funnel-designer / performance-analyst;Tous;Site;Moyenne;2h;Note de test CTA;S3 landing;Oui;Taux de clic CTA;A faire
S4;2026-08-22;2026-08-28;Phase 2;Publications social (2-3 LinkedIn + 2-3 IG/FB + stories);linkedin-writer / social-media-manager / compliance-reviewer;A et B;LinkedIn/Instagram/Facebook;Haute;5h;Brouillons social;S3 Phase 2;Oui;Portee, engagement, clics;A faire
S4;2026-08-22;2026-08-28;Phase 2;Produire le 1er reel pedagogique (script, sans tournage auto);social-media-manager / content-strategist / compliance-reviewer;A - Jeune actif;Reels;Moyenne;3h;Script reel;S2 gabarits;Oui;Vues, retention;A faire
S4;2026-08-22;2026-08-28;Phase 2;Finaliser le 1er flyer (brief graphique complet pour graphiste humain);visual-flyer-director / compliance-reviewer;B - Famille;Local;Basse;3h;Brief flyer finalise;S2 flyer;Oui;n/a;A faire
S4;2026-08-22;2026-08-28;Phase 2;Identifier pistes de visibilite locale et partenariats exploratoires (sans demarchage a froid);marketing-director;B et C;Local;Moyenne;3h;Liste de pistes;Aucune;Oui;Contacts volontaires pris;A faire
S5;2026-08-29;2026-08-30;Phase 2;Premier releve des visites et demandes (J14);performance-analyst;Tous;Analytics;Haute;2h;Mini-rapport J14;Donnees reelles fournies par l humain;Oui;Visites, formulaires;A faire
S5;2026-08-29;2026-08-30;Phase 2;Revue conformite des contenus diffuses (registre a jour);compliance-reviewer;Tous;Interne;Haute;2h;MaJ registre conformite;Contenus S3-S4;Oui;n/a;A faire
S5;2026-08-31;2026-09-04;Phase 3;Analyse des resultats du 1er mois (J30);performance-analyst / marketing-director;Tous;Analytics;Haute;3h;Rapport J30;Donnees reelles;Oui;Engagement, clics, conversions;A faire
S5;2026-08-31;2026-09-04;Phase 3;Recherche d intentions de recherche et selection des premiers sujets SEO;seo-strategist;Tous;SEO;Haute;4h;Liste mots-cles + intentions;Aucune;Oui;n/a;A faire
S5;2026-08-31;2026-09-04;Phase 3;Ajuster cadence et formats selon les premiers signaux;marketing-director / content-strategist;Tous;Interne;Moyenne;2h;Note d ajustement;Rapport J30;Oui;n/a;A faire
S6;2026-09-05;2026-09-11;Phase 3;Rediger le 1er article SEO (brief + brouillon);seo-strategist / content-strategist / compliance-reviewer;A - Jeune actif;SEO/Site;Haute;5h;Brief + brouillon article 1;Sujets SEO S5;Oui;Positions, visites;A faire
